C A V Cotton Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
CS Components Private Limited, Machinery Cash Credit Limit CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Letter of Credit Limit CRISIL A4+,Bank Guarantee limit CRISIL A4+,CSREM Trust (Centurion University of Technology and Management) Diversified Consumer Services Long Term Bank Loan CRISIL BB Stable,Over Draft CRISIL BB Stable,,,,,,,,,
CT Ramanathan Infrastructure Private Limited, Construction & Engineering Proposed Cash Credit Limit #,Cash Credit Limit #,Term Loan Facilities #,Bank Guarantee limit #,Proposed Bank Guarantee #,,,,,,,,,,
CTC Mall Tradex Private Limited, Specialty Retail Cash Credit Limit #,,,,,,,,,,,,,,
CTM Technical Textiles Limited, Textiles- Apparel & Luxury Goods Long Term Bank Loan CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,Inland/Import Letter of Credit CRISIL A4+,CTM Textile Mills Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BB+ Stable,Term Loan Facilities CRISIL BB+ Stable,Inland/Import Letter of Credit CRISIL A4+,,,,,,,,
CTS Industries Limited, Construction & Engineering Term Loan Facilities #,Cash Credit Limit #,Letter of Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
CUSP International Private Limited, Distributors Cash Credit Limit #,Letter of Credit Limit #,CVS Motors Specialty Retail Proposed Working Capital Facility CRISIL BB Stable,Long Term Bank Loan CRISIL BB Stable,Cash Credit Limit CRISIL BB Stable,CVT Technology Solutions Private limited Software Term Loan Facilities CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,Over Draft CRISIL B Stable,,,,,,,
Cable Corporation of India Limited, Electrical Equipment Cash Credit Limit #,Bank Guarantee #,Letter of Credit (LC) #,Bank Guarantee limit #,Letter of Credit Limit #,,,,,,,,,,
Cache Furniture Limited, Specialty Retail Stand by Line of Credit #,Long Term Bank Loan #,Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,
Caddie Hotels Private Limited, Hotels Restaurants & Leisure Term Loan Facilities #,,,,,,,,,,,,,,
Cadila Healthcare Limited, Pharmaceuticals Proposed Long-Term Bank Facility CRISIL AA+ Stable,Cash Credit Limit CRISIL AA+ Stable,Non Convertible Debenture CRISIL AA+ Stable,Long Term Bank Loan CRISIL AA+ Stable,Bank Guarantee limit CRISIL A1+,Short Term Debt CRISIL A1+,Letter of Credit Limit CRISIL A1+,,,,,,,,
Cadiz Pharmaceuticals Private Limited, Distributors Cash Credit Limit CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,,,
Calcast Ferrous Limited, Trading Companies & Distributors Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,Letter of Credit Limit CRISIL A4+,,,,,,,,,,,,
Calchem Industries India Limited, Chemicals Proposed Long-Term Bank Facility #,Cash Credit Limit #,Term Loan Facilities #,,,,,,,,,,,,
Calco Poly Technik Private Limited, Chemicals Proposed Long-Term Bank Facility CRISIL BB- Stable,Term Loan Facilities CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Stand by Line of Credit CRISIL BB- Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,,
Calcom Cement India Limited, Construction Materials Term Loan Facilities CRISIL C,Funded Interest Term Loan CRISIL C,Proposed Long-Term Bank Facility CRISIL C,Working Capital Term Loan CRISIL C,Calcutta Export Company Metals & Mining Packing Credits CRISIL A4+,Foreign Letter of Credit CRISIL A4+,Foreign Bill Purchase Limit CRISIL A4+,,,,,,,,
Calcutta Radio Service Private Limited, Specialty Retail Cash Credit Limit #,Bank Guarantee limit #,Standby Line Of Credit #,Letter of Credit Limit #,,,,,,,,,,,
Calcutta Springs Limited, Industrial Conglomerates Proposed Fund-Based Bank Limits CRISIL BB Stable,Cash Credit Limit CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,Foreign Bill Purchase Limit CRISIL A4+,Letter Of Guarantee CRISIL A4+,,,,,,,,,,
Caliber Mercantile Private Limited, Oil Gas & Consumable Fuels Cash Credit Limit CRISIL BB- Stable,Proposed Cash Credit Limit CRISIL BB- Stable,,,,,,,,,,,,,
Calibre Chemicals Private Limited, Chemicals Cash Credit Limit CRISIL A- Stable,Proposed Long-Term Bank Facility CRISIL A- Stable,Letter of Credit and Bank Guarantee CRISIL A2+,,,,,,,,,,,,
Calica Resources Private Limited, Food Products Proposed Long-Term Bank Facility CRISIL B Stable,Export Packing Credit CRISIL B Stable,Export Packing Credit limits CRISIL A4,Calico Impex Engineering & Capital Goods Foreign Bill Purchase CRISIL BB+ Stable,Foreign Letter of Credit (LT) CRISIL BB+ Stable,Export Packing Credit CRISIL BB+ Stable,Calico Trends Engineering & Capital Goods Export Packing Credit CRISIL BBB Stable,Proposed Long-Term Bank Facility CRISIL BBB Stable,Foreign Bill Purchase CRISIL BBB Stable,Stand by Line of Credit CRISIL BBB Stable,Letter of Credit Limit CRISIL A3+,,,,
Calicut Landmark Builders and Developers India Private Limited, Real Estate Development Term Loan Facilities CRISIL BB Stable,Proposed Short Term Bank Facility CRISIL A4+,California Agri Nuts Corp. Distributors Cash Credit Limit CRISIL BB- Stable,,,,,,,,,,,,
Calista Hotels & Resorts Pvt. Ltd., Hotels Restaurants & Leisure Long Term Bank Loan CRISIL B- Stable,Cash Credit/ Overdraft facility CRISIL B- Stable,,,,,,,,,,,,,
Call Express Construction India Private Limited, Real Estate Development Proposed Term Loan CRISIL B Stable,Long Term Bank Loan CRISIL B Stable,,,,,,,,,,,,,
Calpro Foods Private Limited, Household Products Cash Credit Limit CRISIL BB- Stable,Foreign Letter of Credit (LT) CRISIL BB- Stable,Foreign Letter of Credit CRISIL A4+,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
Calstar Sponge Limited, Metals & Mining Cash Credit Limit #,Term Loan Facilities #,,,,,,,,,,,,,
Caltron Info Trade Private Limited, Specialty Retail Cash Credit Limit #,Standby Line Of Credit #,Bank Guarantee limit #,Letter of Credit Limit #,Calyx Majestique Properties Real Estate Development Term Loan Facilities #,,,,,,,,,,
Calzini Fashions Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,,,,
Cambata Aviation Private Limited, Transportation Infrastructure Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,,,
Camlin Fine Sciences Limited, Chemicals Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,Letter of Credit Limit #,Foreign Bill Purchase Limit #,Bank Guarantee limit #,,,,,,,,,
Canaan Engineering Private Limited, Machinery Term Loan Facilities CRISIL D,Cash Credit Limit CRISIL D,Working Capital Term Loan CRISIL D,Proposed Long-Term Bank Facility CRISIL D,Funded Interest Term Loan CRISIL D,Inland/Import Letter of Credit CRISIL D,Bank Guarantee limit CRISIL D,Canaan Marine Products Food Products Long Term Bank Loan CRISIL BB- Stable,Bill Discounting under Letter of Credit CRISIL A4+,Packing Credits CRISIL A4+,Canara Bank Banks Perpetual Tier-I Bonds (under Basel II)(LT) CRISIL AAA Negative,Lower Tier-II Bonds (under Basel II)(LT) CRISIL AAA Negative,Tier II Bonds (Under Basel III) CRISIL AAA Negative,Upper Tier-II Bonds (under Basel II)(LT) CRISIL AAA Negative,Certificate of Deposit CRISIL A1+
Canara Jewel Tex Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
Canara Lighting Industries Private Limited, Media Cash Credit Limit #,Proposed Long-Term Bank Facility #,Working Capital Term Loan #,Bank Guarantee limit #,,,,,,,,,,,
Canara Overseas Limited, Distributors Cash Credit Limit #,Packing Credits #,,,,,,,,,,,,,
Canara Traders and Printers Private Limited, Commercial Services & Supplies Long Term Bank Loan #,Over Draft #,Letter of Credit Limit #,,,,,,,,,,,,
Canbank Factors Limited, Non Banking Financial Company Short Term Debt CRISIL A1+,,,,,,,,,,,,,,
Candy Spirits Private Limited, Distributors Cash Credit Limit CRISIL BBB- Stable,Term Loan Facilities CRISIL BBB- Stable,Proposed Long-Term Bank Facility CRISIL BBB- Stable,Cannanore Handloom Exports Household Durables Packing Credit CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,Term Loan Facilities CRISIL BB- Stable,Foreign Bill Discounting CRISIL A4+,,,,,,,,
Canopy Estates Private Limited, Real Estate Development Mortgage Loan Facility CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,,,,,,,,,,,,,
Canpex Chemicals Private Limited, Chemicals Proposed Long-Term Bank Facility #,Over Draft #,Pre Shipment Credit #,Bank Guarantee limit #,Post Shipment Credit #,Foreign Letter of Credit #,,,,,,,,,
Canter Engineers Private Limited, Construction & Engineering Cash Credit Limit CRISIL BBB- Stable,Bank Guarantee limit CRISIL A3,Canvas Integrated Cold Chain Services Commercial Services & Supplies Term Loan Facilities CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,,,,,,,,,,,
Cap Seafoods Private Limited, Food Products Packing Credits CRISIL A4+,Bank Guarantee limit CRISIL A4+,Foreign Bill Discounting CRISIL A4+,,,,,,,,,,,,
CapacitE Engineering Private Limited, Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,,,
