U92412AP2015PTC097322,*,NSRK RECREATIONS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,"Community, personal & Social Services","6-2-10, East Point Colony,     Visakhapatnam Andhra Pradesh INDIA 530017"
U55101AP2015PTC097330,,AMARAVATHI HOTELS & RESORTS PRIVATE LIMITED,9/8/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,1000000,0,Trading,"D no:13-102, Poranki gram panchayat, Penamaluru Mandal,   Vijayawada Andhra Pradesh INDIA 521137"
U63090AP2015PTC097328,,MANOHARA LOGISTICS PRIVATE LIMITED,9/8/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,1000000,0,"Transport, storage and Communications","68-5-1, Lalachervu, Gandhipuram-4   RAJAHMUNDRY Andhra Pradesh INDIA 533101"
U72900AP2015FTC097327,*,NOVISYNC SOLUTIONS INDIA PRIVATE LIMITED,9/8/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Subsidiary of Foreign Company,Private,100000,100000,0,Business Services,"11-9-28, PLOT NO 62 DASPALLA HILLS   VISAKHAPATNAM Andhra Pradesh INDIA 530002"
U74900AP2015PTC097329,*,FABRICAS CREATIONS PRIVATE LIMITED,9/8/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Business Services,"D.NO: 14-90, VELAGAPUDI TIRAPATAIAH STREET LAKSHMI NAGAR, YANAMALAKUDURU   VIJAYAWADA Andhra Pradesh INDIA 520007"
U45206AP2015PTC097336,,SAI VAISHNAVI INFRACON PRIVATE LIMITED,9/9/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Construction,"1-88, Diptakayalapadu koyyalagudem   West Godavari Andhra Pradesh INDIA 534312"
U72300AP2015PTC097338,,INNDATA ANALYTICS PRIVATE LIMITED,9/9/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"H NO 54-14/8-25A, BHARATHI NAGAR   VIJAYAWADA Andhra Pradesh INDIA 520008"
U74900AP2015PTC097341,,NEUCRETE INFRA PRIVATE LIMITED,9/9/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,235/5 M.V.P COLONY   VISAKHAPATNAM Andhra Pradesh INDIA 530017
U74900AP2015PTC097342,,GLOBAL PHARMA TEK INDIA PRIVATE LIMITED,9/9/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,1000000,0,Business Services,"H. No..: 59A/11A, 6/1,     Guntur Andhra Pradesh INDIA 522234"
U74900AP2015FTC097333,,FUBURG INDUSTRIES INDIA PRIVATE LIMITED,9/9/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Subsidiary of Foreign Company,Private,10000000,10000000,0,Business Services,"D.No.3-11-67/1, SRI KALAHASTHI BY-PASS ROAD   NAIDUPET Andhra Pradesh INDIA 524126"
